	Year	Series	Value
French Guiana	2005	"Intentional homicide rates per 100,000"	22.1704
French Guiana	2009	"Intentional homicide rates per 100,000"	13.1844
French Guiana	2009	"Percentage of male and female intentional homicide victims, Male"	21.6046
French Guiana	2009	"Percentage of male and female intentional homicide victims, Female"	4.7876
French Polynesia	2009	"Intentional homicide rates per 100,000"	0.377
Georgia	2005	"Intentional homicide rates per 100,000"	9.5721
Georgia	2005	"Percentage of male and female intentional homicide victims, Male"	16.4942
Georgia	2005	"Percentage of male and female intentional homicide victims, Female"	3.2677
Georgia	2005	"Assault rate per 100,000 population"	8.74
Georgia	2005	"Kidnapping at the national level, rate per 100,000"	2.09
Georgia	2005	"Theft at the national level, rate per 100,000 population"	386.13
Georgia	2005	"Total Sexual Violence at the national level, rate per 100,000"	3.895
Georgia	2010	"Intentional homicide rates per 100,000"	4.562
Georgia	2010	"Percentage of male and female intentional homicide victims, Male"	8.1413
Georgia	2010	"Percentage of male and female intentional homicide victims, Female"	1.3047
Georgia	2010	"Assault rate per 100,000 population"	3.07
Georgia	2010	"Kidnapping at the national level, rate per 100,000"	0.098
Georgia	2010	"Theft at the national level, rate per 100,000 population"	277.41
Georgia	2010	"Robbery at the national level, rate per 100,000 population"	15.565
Georgia	2010	"Total Sexual Violence at the national level, rate per 100,000"	4.025
Georgia	2014	"Intentional homicide rates per 100,000"	2.6764
Georgia	2014	"Percentage of male and female intentional homicide victims, Male"	3.868
Georgia	2014	"Percentage of male and female intentional homicide victims, Female"	1.5877
Georgia	2014	"Assault rate per 100,000 population"	5.65
Georgia	2014	"Theft at the national level, rate per 100,000 population"	236.88
Georgia	2014	"Robbery at the national level, rate per 100,000 population"	11.673
Georgia	2014	"Total Sexual Violence at the national level, rate per 100,000"	3.247
Georgia	2016	"Intentional homicide rates per 100,000"	0.9712
Georgia	2016	"Percentage of male and female intentional homicide victims, Male"	0.2608
Georgia	2016	"Percentage of male and female intentional homicide victims, Female"	1.6206
Germany	2005	"Intentional homicide rates per 100,000"	1.0649
Germany	2005	"Percentage of male and female intentional homicide victims, Male"	1.1988
Germany	2005	"Percentage of male and female intentional homicide victims, Female"	0.937
Germany	2005	"Assault rate per 100,000 population"	605.77
Germany	2005	"Kidnapping at the national level, rate per 100,000"	2.116
Germany	2005	"Theft at the national level, rate per 100,000 population"	2738.22
Germany	2005	"Total Sexual Violence at the national level, rate per 100,000"	67.648
Germany	2010	"Intentional homicide rates per 100,000"	0.9811
Germany	2010	"Percentage of male and female intentional homicide victims, Male"	1.0096
Germany	2010	"Percentage of male and female intentional homicide victims, Female"	0.9537
Germany	2010	"Assault rate per 100,000 population"	176.8
Germany	2010	"Kidnapping at the national level, rate per 100,000"	6.059
Germany	2010	"Theft at the national level, rate per 100,000 population"	1509.38
Germany	2010	"Robbery at the national level, rate per 100,000 population"	59.591
Germany	2010	"Total Sexual Violence at the national level, rate per 100,000"	45.24
Germany	2016	"Intentional homicide rates per 100,000"	1.1716
Germany	2016	"Percentage of male and female intentional homicide victims, Male"	1.2208
Germany	2016	"Percentage of male and female intentional homicide victims, Female"	1.1239
Germany	2016	"Assault rate per 100,000 population"	170.37
Germany	2016	"Kidnapping at the national level, rate per 100,000"	5.786
Germany	2016	"Theft at the national level, rate per 100,000 population"	1570.04
Germany	2016	"Robbery at the national level, rate per 100,000 population"	52.326
Germany	2016	"Total Sexual Violence at the national level, rate per 100,000"	45.217
Germany	2017	"Intentional homicide rates per 100,000"	0.9836
Germany	2017	"Percentage of male and female intentional homicide victims, Male"	1.0629
Germany	2017	"Percentage of male and female intentional homicide victims, Female"	0.9065
Germany	2017	"Assault rate per 100,000 population"	165.81
Germany	2017	"Kidnapping at the national level, rate per 100,000"	5.595
Germany	2017	"Robbery at the national level, rate per 100,000 population"	47
Germany	2017	"Total Sexual Violence at the national level, rate per 100,000"	42.119
Ghana	2005	"Intentional homicide rates per 100,000"	1.8015
Ghana	2010	"Intentional homicide rates per 100,000"	1.703
Ghana	2017	"Intentional homicide rates per 100,000"	2.0912
Gibraltar	2010	"Intentional homicide rates per 100,000"	2.9775
Greece	2005	"Intentional homicide rates per 100,000"	1.176
Greece	2005	"Percentage of male and female intentional homicide victims, Male"	1.5771
Greece	2005	"Percentage of male and female intentional homicide victims, Female"	0.7828
Greece	2005	"Assault rate per 100,000 population"	69.28
Greece	2005	"Kidnapping at the national level, rate per 100,000"	0.223
Greece	2005	"Theft at the national level, rate per 100,000 population"	549.24
Greece	2005	"Total Sexual Violence at the national level, rate per 100,000"	5.639
Greece	2010	"Intentional homicide rates per 100,000"	1.6165
Greece	2010	"Percentage of male and female intentional homicide victims, Male"	2.6549
Greece	2010	"Percentage of male and female intentional homicide victims, Female"	0.6138
Greece	2010	"Assault rate per 100,000 population"	10.11
Greece	2010	"Kidnapping at the national level, rate per 100,000"	1.589
Greece	2010	"Theft at the national level, rate per 100,000 population"	1088.52
Greece	2010	"Robbery at the national level, rate per 100,000 population"	55.832
Greece	2010	"Total Sexual Violence at the national level, rate per 100,000"	4.693
Greece	2016	"Intentional homicide rates per 100,000"	0.7913
Greece	2016	"Percentage of male and female intentional homicide victims, Male"	1.113
Greece	2016	"Percentage of male and female intentional homicide victims, Female"	0.4811
Greece	2016	"Assault rate per 100,000 population"	14.27
Greece	2016	"Kidnapping at the national level, rate per 100,000"	0.575
Greece	2016	"Theft at the national level, rate per 100,000 population"	958.8
Greece	2016	"Robbery at the national level, rate per 100,000 population"	44.512
Greece	2016	"Total Sexual Violence at the national level, rate per 100,000"	4.644
Greece	2017	"Intentional homicide rates per 100,000"	0.8137
Greece	2017	"Percentage of male and female intentional homicide victims, Male"	1.2143
Greece	2017	"Percentage of male and female intentional homicide victims, Female"	0.4274
Greece	2017	"Assault rate per 100,000 population"	14.29
Greece	2017	"Kidnapping at the national level, rate per 100,000"	0.738
Greece	2017	"Robbery at the national level, rate per 100,000 population"	40.411
Greece	2017	"Total Sexual Violence at the national level, rate per 100,000"	4.286
Greenland	2005	"Intentional homicide rates per 100,000"	17.5596
Greenland	2010	"Intentional homicide rates per 100,000"	19.4216
Greenland	2016	"Intentional homicide rates per 100,000"	5.3184
Grenada	2005	"Intentional homicide rates per 100,000"	10.5104
Grenada	2005	"Percentage of male and female intentional homicide victims, Male"	15.2401
Grenada	2005	"Percentage of male and female intentional homicide victims, Female"	5.751
Grenada	2005	"Assault rate per 100,000 population"	1803.81
Grenada	2005	"Kidnapping at the national level, rate per 100,000"	0
Grenada	2005	"Theft at the national level, rate per 100,000 population"	1726.67
Grenada	2005	"Total Sexual Violence at the national level, rate per 100,000"	143.81
Grenada	2010	"Intentional homicide rates per 100,000"	9.4138
Grenada	2010	"Percentage of male and female intentional homicide victims, Male"	14.9067
Grenada	2010	"Percentage of male and female intentional homicide victims, Female"	3.8052
Grenada	2010	"Assault rate per 100,000 population"	1086.79
Grenada	2010	"Kidnapping at the national level, rate per 100,000"	0
Grenada	2010	"Theft at the national level, rate per 100,000 population"	906.6
Grenada	2010	"Robbery at the national level, rate per 100,000 population"	24.528
Grenada	2010	"Total Sexual Violence at the national level, rate per 100,000"	104.717
Grenada	2016	"Intentional homicide rates per 100,000"	9.9761
Grenada	2016	"Percentage of male and female intentional homicide victims, Male"	14.389
Grenada	2016	"Percentage of male and female intentional homicide victims, Female"	5.488
Grenada	2016	"Assault rate per 100,000 population"	397.27
Grenada	2016	"Kidnapping at the national level, rate per 100,000"	0
Grenada	2016	"Theft at the national level, rate per 100,000 population"	2250.91
Grenada	2016	"Robbery at the national level, rate per 100,000 population"	50
Grenada	2016	"Total Sexual Violence at the national level, rate per 100,000"	208.182
Grenada	2017	"Intentional homicide rates per 100,000"	10.8231
Grenada	2017	"Percentage of male and female intentional homicide victims, Male"	17.892
Grenada	2017	"Percentage of male and female intentional homicide victims, Female"	3.6375
Grenada	2017	"Assault rate per 100,000 population"	337.84
Grenada	2017	"Kidnapping at the national level, rate per 100,000"	0
Grenada	2017	"Robbery at the national level, rate per 100,000 population"	51.351
Grenada	2017	"Total Sexual Violence at the national level, rate per 100,000"	179.279
Guadeloupe	2005	"Intentional homicide rates per 100,000"	5.7086
Guadeloupe	2005	"Percentage of male and female intentional homicide victims, Male"	11.2917
Guadeloupe	2005	"Percentage of male and female intentional homicide victims, Female"	0.7206
Guadeloupe	2009	"Intentional homicide rates per 100,000"	8.8792
Guadeloupe	2009	"Percentage of male and female intentional homicide victims, Male"	16.2234
Guadeloupe	2009	"Percentage of male and female intentional homicide victims, Female"	2.4905
Guadeloupe	2016	"Intentional homicide rates per 100,000"	5.7535
Guam	2005	"Intentional homicide rates per 100,000"	4.419
Guam	2010	"Intentional homicide rates per 100,000"	1.8816
Guam	2011	"Intentional homicide rates per 100,000"	2.5049
Guatemala	2005	"Intentional homicide rates per 100,000"	40.7605
Guatemala	2005	"Percentage of male and female intentional homicide victims, Male"	75.0485
Guatemala	2005	"Percentage of male and female intentional homicide victims, Female"	7.762
Guatemala	2005	"Assault rate per 100,000 population"	46.54
Guatemala	2005	"Kidnapping at the national level, rate per 100,000"	0.397
Guatemala	2005	"Theft at the national level, rate per 100,000 population"	32.86
Guatemala	2005	"Total Sexual Violence at the national level, rate per 100,000"	2.398
Guatemala	2010	"Intentional homicide rates per 100,000"	40.737
Guatemala	2010	"Percentage of male and female intentional homicide victims, Male"	73.2651
Guatemala	2010	"Percentage of male and female intentional homicide victims, Female"	9.3361
Guatemala	2010	"Assault rate per 100,000 population"	50.94
Guatemala	2010	"Kidnapping at the national level, rate per 100,000"	0.909
Guatemala	2010	"Theft at the national level, rate per 100,000 population"	44.52
Guatemala	2010	"Robbery at the national level, rate per 100,000 population"	22.119
Guatemala	2010	"Total Sexual Violence at the national level, rate per 100,000"	3.39
Guatemala	2012	"Intentional homicide rates per 100,000"	33.7573
Guatemala	2012	"Percentage of male and female intentional homicide victims, Male"	61.0492
Guatemala	2012	"Percentage of male and female intentional homicide victims, Female"	7.3789
Guatemala	2012	"Assault rate per 100,000 population"	39.85
Guatemala	2012	"Kidnapping at the national level, rate per 100,000"	0.544
Guatemala	2012	"Theft at the national level, rate per 100,000 population"	59.67
